term, docID
年幼,"['1291844', '1293172', '1293318', '1296837', '1305703', '1307748', '1432972', '1792928', '1947144', '2209573']"
眼光,"['1293172', '1431683']"
大臣,"['1293172', '1293475', '1466394']"
身上,"['1291583', '1292659', '1293172', '1293350', '1296078', '1297018', '1300220', '1300374', '1304530', '1306808', '1308520', '1308827', '1309020', '1309060', '1316572', '1316580', '1388216', '1419969', '1431699', '1461964', '1465037', '1468155', '1483507', '1763132', '1786743', '1817169', '1873750', '1878360', '1946882', '2148619', '2154096', '2295401', '2300586', '2978224', '3011225', '3036997', '3041294', '3230462', '3305873', '3312344', '4059245']"
一只,"['1291560', '1292347', '1293172', '1294941', '1296436', '1296629', '1304970', '1307527', '1309160', '1316510', '1316572', '1408100', '1418019', '1439890', '1457218', '1470591', '1483507', '1760104', '1763134', '1793912', '1845625', '1860377', '1870436', '1961963', '2129039', '2131459', '2156663', '2336785', '2353023', '2976111', '2976123', '2978951', '3011091', '3233761', '3412882', '3628370', '3734350']"
蝈蝈,['1293172']
江山,"['1293172', '1316510', '2154743']"
心中,"['1291577', '1291586', '1291851', '1291870', '1292049', '1292211', '1293172', '1293317', '1293929', '1297131', '1298128', '1298624', '1300960', '1301890', '1303203', '1303815', '1304530', '1304608', '1305466', '1306541', '1307697', '1308480', '1308573', '1308741', '1308748', '1308749', '1309015', '1309016', '1322851', '1325958', '1381964', '1418605', '1418640', '1438760', '1439579', '1478064', '1482072', '1482077', '1760027', '1858802', '1870044', '1947091', '1949811', '2054024', '2054026', '2365260', '2969282', '3198015', '3313801', '3445526', '3596502', '4133814', '4739952']"
一个,"['1291543', '1291544', '1291546', '1291554', '1291555', '1291558', '1291561', '1291562', '1291565', '1291574', '1291575', '1291577', '1291578', '1291579', '1291580', '1291581', '1291584', '1291832', '1291840', '1291843', '1291851', '1291853', '1291858', '1291868', '1291870', '1291875', '1291877', '1291879', '1292000', '1292001', '1292048', '1292049', '1292052', '1292055', '1292056', '1292062', '1292063', '1292064', '1292211', '1292212', '1292214', '1292217', '1292219', '1292220', '1292222', '1292225', '1292226', '1292229', '1292234', '1292271', '1292275', '1292281', '1292286', '1292289', '1292326', '1292329', '1292341', '1292343', '1292348', '1292370', '1292371', '1292444', '1292484', '1292504', '1292523', '1292553', '1292659', '1292718', '1292720', '1292722', '1292849', '1292950', '1292973', '1293050', '1293088', '1293124', '1293172', '1293173', '1293181', '1293182', '1293258', '1293359', '1293399', '1293531', '1293764', '1293818', '1293825', '1293839', '1293867', '1294007', '1294037', '1294362', '1294371', '1294408', '1294638', '1294766', '1294833', '1294927', '1294941', '1294950', '1294963', '1294990', '1295038', '1295045', '1295120', '1295124', '1295242', '1295250', '1295280', '1295292', '1295686', '1295815', '1295873', '1295965', '1296078', '1296157', '1296253', '1296753', '1296996', '1297052', '1297068', '1297102', '1297131', '1297192', '1297223', '1297291', '1297518', '1297544', '1297570', '1297630', '1297689', '1297756', '1297995', '1298070', '1298128', '1298346', '1298624', '1298653', '1298759', '1299062', '1299080', '1299243', '1299327', '1299362', '1299603', '1299643', '1299661', '1300055', '1300056', '1300069', '1300220', '1300267', '1300275', '1300299', '1300353', '1300395', '1300608', '1300616', '1300618', '1300656', '1301106', '1301169', '1301174', '1301445', '1301578', '1301726', '1301746', '1301753', '1301912', '1302303', '1302476', '1303037', '1303139', '1303173', '1303246', '1303394', '1303815', '1304022', '1304073', '1304337', '1304485', '1304585', '1304854', '1304970', '1304972', '1305034', '1305068', '1305182', '1305355', '1305466', '1305541', '1305666', '1305690', '1305703', '1305713', '1305724', '1305903', '1306123', '1306154', '1306160', '1306526', '1306541', '1306612', '1306666', '1306730', '1306808', '1307014', '1307181', '1307315', '1307394', '1307527', '1307542', '1307690', '1307694', '1307697', '1307739', '1307740', '1307766', '1307781', '1307811', '1307906', '1307914', '1307955', '1307956', '1308076', '1308232', '1308480', '1308482', '1308573', '1308575', '1308587', '1308620', '1308699', '1308741', '1308748', '1308749', '1308753', '1308799', '1308804', '1308807', '1308811', '1308817', '1308831', '1308833', '1308848', '1308851', '1308854', '1308858', '1308865', '1308974', '1309015', '1309016', '1309044', '1309045', '1309052', '1309054', '1309055', '1309059', '1309060', '1309069', '1309084', '1309101', '1309136', '1309160', '1309163', '1309172', '1309184', '1309199', '1309201', '1309203', '1310185', '1315574', '1316513', '1316572', '1316580', '1323749', '1325958', '1329286', '1329962', '1337286', '1366853', '1388175', '1388216', '1394819', '1395776', '1396313', '1401535', '1408100', '1412579', '1417598', '1417946', '1418190', '1418191', '1418834', '1419297', '1419581', '1419936', '1421823', '1422920', '1428175', '1428576', '1428577', '1428578', '1428581', '1428602', '1428878', '1431683', '1431685', '1431699', '1431714', '1431718', '1431719', '1431947', '1433360', '1436870', '1436900', '1437342', '1438093', '1438760', '1439890', '1449381', '1451911', '1457573', '1465037', '1466007', '1469441', '1471507', '1474185', '1474405', '1477448', '1478064', '1478186', '1482077', '1482394', '1483507', '1484760', '1499148', '1509868', '1578507', '1585146', '1585236', '1689787', '1756073', '1756584', '1760027', '1761854', '1763134', '1764796', '1766086', '1767042', '1781126', '1781636', '1782006', '1782142', '1783772', '1790373', '1790577', '1793491', '1793909', '1793912', '1794435', '1796053', '1800597', '1806543', '1806555', '1807959', '1817169', '1817253', '1820156', '1827955', '1829230', '1835843', '1844413', '1848925', '1849031', '1850963', '1851857', '1851906', '1855834', '1856299', '1858802', '1859036', '1860377', '1861411', '1862151', '1863955', '1865703', '1867335', '1867408', '1870044', '1885124', '1891211', '1892510', '1892531', '1905462', '1914652', '1914831', '1915312', '1915403', '1917577', '1919245', '1922273', '1927686', '1937401', '1937502', '1937946', '1939414', '1945549', '1946882', '1949328', '1950148', '1950525', '1951318', '1959877', '1961963', '1962116', '1963067', '1963070', '1966464', '1978369', '1978709', '1979063', '1997681', '1998799', '2003389', '2027938', '2027945', '2028647', '2037012', '2052978', '2053515', '2054024', '2054026', '2059225', '2078864', '2080133', '2081098', '2082013', '2085721', '2123510', '2129039', '2131459', '2132495', '2147121', '2147854', '2149804', '2153527', '2154096', '2154868', '2156528', '2157131', '2190914', '2190934', '2209573', '2213597', '2229427', '2230888', '2239286', '2257732', '2268359', '2286642', '2300586', '2301701', '2326212', '2336785', '2338058', '2346881', '2357719', '2359431', '2361823', '2369845', '2969282', '2998270', '3003830', '3005496', '3008247', '3011049', '3011072', '3011093', '3011102', '3011225', '3011308', '3013580', '3018123', '3072086', '3072124', '3073124', '3074303', '3078386', '3078609', '3102668', '3103678', '3120852', '3130180', '3148748', '3149087', '3155477', '3158990', '3198015', '3205624', '3212120', '3230459', '3230462', '3233761', '3250377', '3305873', '3344570', '3442220', '3445526', '3642866', '3670447', '3690289', '3734112', '3734350', '3792799', '3804470', '3805953', '3824672', '3882715', '3901388', '3908423', '3986493', '4004731', '4057312', '4059245', '4111416', '4133988', '4151110', '4164444', '4300525', '4305436', '4888039', '4896263', '5250583']"
不明,"['1293172', '1294114', '1306808', '1307696', '1308865', '1428602', '1457573', '1468155', '1763134', '1927686', '3011091', '4249355']"
名词,['1293172']
长大,"['1291546', '1291549', '1291818', '1291828', '1291844', '1292001', '1292207', '1293172', '1293182', '1293708', '1294561', '1294766', '1295340', '1295409', '1300960', '1302476', '1305690', '1308746', '1308820', '1309084', '1309203', '1419969', '1428578', '1457218', '1461985', '1464338', '1465037', '1468154', '1782142', '1819388', '1914652', '1926007', '1962116', '1997685', '2054026', '2132932', '2295401', '2365260', '2976111', '3005496', '3011091', '3157605', '3268216']"
变革,"['1293172', '1485260', '3077791']"
却,"['1291544', '1291550', '1291558', '1291559', '1291565', '1291574', '1291579', '1291581', '1291584', '1291585', '1291586', '1291818', '1291824', '1291832', '1291835', '1291838', '1291850', '1291851', '1291858', '1291859', '1291869', '1291877', '1291878', '1291879', '1291937', '1291990', '1292047', '1292048', '1292052', '1292062', '1292208', '1292211', '1292212', '1292213', '1292217', '1292218', '1292219', '1292222', '1292224', '1292262', '1292270', '1292271', '1292274', '1292286', '1292287', '1292343', '1292348', '1292365', '1292370', '1292396', '1292484', '1292523', '1292528', '1292656', '1292659', '1292679', '1292718', '1292792', '1292895', '1292950', '1293013', '1293172', '1293258', '1293315', '1293323', '1293351', '1293353', '1293359', '1293377', '1293555', '1293607', '1293708', '1293765', '1293964', '1294136', '1294240', '1294371', '1294671', '1294833', '1294941', '1294950', '1295229', '1295242', '1295340', '1295485', '1295815', '1295865', '1295873', '1295965', '1296629', '1296717', '1296736', '1296753', '1296992', '1297068', '1297102', '1297192', '1297223', '1297630', '1297659', '1297995', '1298038', '1298040', '1298112', '1298128', '1298653', '1298759', '1299062', '1299131', '1299193', '1299362', '1299643', '1299745', '1299889', '1300064', '1300069', '1300220', '1300300', '1300353', '1300528', '1300618', '1300656', '1300883', '1300960', '1301106', '1301168', '1301169', '1301174', '1301345', '1301459', '1301578', '1301753', '1301890', '1302100', '1302467', '1302476', '1302769', '1302795', '1303037', '1303139', '1303394', '1303630', '1303815', '1303907', '1304022', '1304056', '1304073', '1304397', '1304447', '1304530', '1304585', '1304624', '1304641', '1304643', '1304677', '1304708', '1304854', '1304972', '1305053', '1305179', '1305197', '1305265', '1305279', '1305466', '1305666', '1305703', '1305713', '1305903', '1306029', '1306123', '1306154', '1306160', '1306249', '1306317', '1306471', '1306526', '1306666', '1306730', '1306809', '1306939', '1306951', '1307014', '1307023', '1307043', '1307106', '1307181', '1307332', '1307681', '1307697', '1307702', '1307748', '1307781', '1307853', '1308076', '1308232', '1308338', '1308482', '1308520', '1308573', '1308599', '1308620', '1308741', '1308748', '1308749', '1308751', '1308753', '1308755', '1308757', '1308804', '1308831', '1308833', '1308838', '1308843', '1308854', '1308855', '1308865', '1309004', '1309015', '1309020', '1309043', '1309044', '1309052', '1309084', '1309101', '1309172', '1309199', '1309203', '1316513', '1316572', '1322851', '1325399', '1325958', '1329962', '1337286', '1388216', '1390021', '1393479', '1394324', '1395776', '1400868', '1401205', '1418019', '1418070', '1418200', '1418605', '1419933', '1419936', '1421823', '1422952', '1428175', '1428576', '1428581', '1431718', '1431946', '1431947', '1432972', '1433330', '1433360', '1436870', '1436900', '1437342', '1438093', '1438760', '1441238', '1441602', '1450031', '1455979', '1457217', '1457573', '1457707', '1459368', '1466007', '1466394', '1467044', '1474189', '1477448', '1477894', '1478064', '1478926', '1482394', '1482911', '1485260', '1498818', '1498831', '1499008', '1499148', '1509868', '1578507', '1689787', '1756584', '1760027', '1761854', '1763132', '1763134', '1764730', '1764796', '1765009', '1780330', '1786743', '1787277', '1787291', '1788392', '1790577', '1793909', '1806555', '1817169', '1817253', '1819388', '1820145', '1820156', '1829654', '1837856', '1850963', '1853621', '1856299', '1857099', '1858711', '1858802', '1861411', '1862151', '1863941', '1863955', '1864810', '1865561', '1866264', '1866424', '1867335', '1867345', '1870044', '1872133', '1876781', '1878360', '1885124', '1891179', '1891211', '1892510', '1892531', '1898223', '1914652', '1914831', '1915403', '1919245', '1920796', '1927369', '1927686', '1937401', '1939414', '1940867', '1947091', '1947144', '1949312', '1949328', '1949811', '1949812', '1959877', '1961963', '1962116', '1966464', '1978709', '1979063', '1981242', '1994876', '1997679', '1997685', '2003389', '2027938', '2028645', '2028666', '2033822', '2037012', '2054933', '2072478', '2080133', '2081098', '2085721', '2124586', '2124724', '2131459', '2132120', '2132220', '2135981', '2138507', '2147121', '2147854', '2149806', '2154096', '2154859', '2161696', '2209573', '2213591', '2213597', '2214140', '2222995', '2230888', '2230906', '2239286', '2256034', '2257732', '2270390', '2277018', '2279152', '2279772', '2286642', '2295401', '2297265', '2297275', '2300586', '2334904', '2336737', '2336785', '2350904', '2353023', '2357162', '2357701', '2357703', '2361823', '2365260', '2368641', '2369845', '2976111', '2978224', '2996640', '3003830', '3005496', '3006772', '3007826', '3011049', '3011072', '3011093', '3011102', '3026357', '3036997', '3041294', '3041806', '3053521', '3072086', '3073124', '3074503', '3077791', '3078609', '3111355', '3120852', '3126196', '3130180', '3149087', '3155477', '3157605', '3158990', '3198015', '3212120', '3217122', '3230462', '3233761', '3240208', '3250377', '3262939', '3268216', '3279107', '3287562', '3289086', '3305873', '3313801', '3314870', '3344570', '3387546', '3412830', '3420455', '3442220', '3445526', '3543690', '3552028', '3578981', '3596502', '3607666', '3609075', '3647523', '3670447', '3683409', '3734112', '3777800', '3804470', '3804746', '3805953', '3813779', '3820191', '3824672', '3873960', '3897667', '3928370', '4023638', '4057312', '4059245', '4062922', '4066206', '4097023', '4133814', '4145476', '4190211', '4226741', '4237879', '4249355', '4271894', '4305436', '4312232', '4323732', '4707230', '4709904', '4896263']"
太监,"['1293172', '1297304', '1863923', '3754946']"
