epoch_idx	precision@5	recall@5	ndcg@5	precision@10	recall@10	ndcg@10
10.0	0.2156599760055542	0.047654345631599426	0.22300352398573264	0.20000000298023224	0.08565143495798111	0.21489468892802738
20.0	0.2751677930355072	0.061309199780225754	0.2879940208465561	0.2434004545211792	0.10536380112171173	0.2680045260161243
30.0	0.2912752032279968	0.06430483609437943	0.2990185007849032	0.25302013754844666	0.11146998405456543	0.27682289871174
40.0	0.2975391447544098	0.06689324975013733	0.30538893965162983	0.2579418420791626	0.11304730921983719	0.2821330172313442
50.0	0.29351234436035156	0.06681381911039352	0.3033818393753524	0.25503355264663696	0.1116989478468895	0.28015885859411765
60.0	0.2912752032279968	0.06478358805179596	0.30555740896904965	0.2521252930164337	0.11092756688594818	0.28083037234279884
70.0	0.2890380620956421	0.06393907219171524	0.3005508401835835	0.24742728471755981	0.10906317085027695	0.27530645207512466
80.0	0.2903803586959839	0.0642632246017456	0.3012489601735448	0.24496644735336304	0.10778824239969254	0.2736066866692333
90.0	0.2791946232318878	0.06134100630879402	0.2914206655566089	0.24049216508865356	0.1046641394495964	0.26769612937214626
100.0	0.27695751190185547	0.061254847794771194	0.28780352186355723	0.2380313277244568	0.10326307266950607	0.2640723887849015
